PRISM Time Series Data,,,,,,,
Location:  Lat: 40.1401   Lon: -88.1992   Elev: 725ft,,,,,,,
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax",,,,,,,
Spatial resolution: 4km,,,,,,,
Period: 1991-01 - 2020-12,,,,,,,
Dataset: AN91m,,,,,,,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,,,,,,,
Grid Cell Interpolation: Off,,,,,,,
Time series generated: 2024-Dec-06,,,,,,,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,,,,,,,
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1991-01,1.6,16.5,23,29.5,19.2,0.07,1.31
1991-02,0.33,24.6,32.2,39.9,24.6,0.4,3.16
1991-03,4.14,33.5,43.1,52.6,33.3,0.59,6.69
1991-04,2.67,44.6,55.7,66.7,43.2,0.79,11.91
1991-05,4.53,59,69.1,79.2,58.7,0.6,15.82
1991-06,0.83,64.5,75.8,87.1,61.2,2,24.96
1991-07,2.41,64.9,76.5,88.1,63,1.58,25.18
1991-08,2.31,63.2,75,86.9,62.2,1.08,24.12
1991-09,2.07,54.7,67.5,80.2,52.6,1.32,21.95
1991-10,4.91,45.6,56.8,68.1,43.7,1.13,12.78
1991-11,2.66,29.4,37.4,45.5,30.2,0.35,3.74
1991-12,1.77,26.1,33.8,41.5,27.1,0.33,2.96
1992-01,1.04,24.2,30.6,37,24.5,0.34,2.05
1992-02,1.36,28.9,36.8,44.6,28.4,0.41,4.09
1992-03,2.06,33,42,51.1,32.9,0.47,6.29
1992-04,3.4,39.3,49.8,60.3,40.6,0.31,8.41
1992-05,0.91,49.5,61.3,73.1,46.3,1.28,16.73
1992-06,2.35,57.1,68.8,80.4,55.1,0.87,20.34
1992-07,13.28,63.6,72.7,81.9,65.1,0,14.25
1992-08,2.38,57.8,68.6,79.4,59,0.48,16.04
1992-09,3.19,53.2,64.8,76.3,54,0.78,15.41
1992-10,1.69,41.7,54.2,66.8,40.8,0.91,13.58
